,epoch,train_accuracy,val_accuracy,train_uar,val_uar
0,0,0.4791666666666667,0.39485981308411217,0.47916666666666663,0.49325025960539975
1,1,0.5366666666666666,0.411214953271028,0.5366666666666666,0.45530460366908965
2,2,0.545,0.39485981308411217,0.545,0.425190377293181
3,3,0.5491666666666667,0.3621495327102804,0.5491666666666667,0.4653859466943579
4,4,0.5566666666666666,0.5046728971962616,0.5566666666666666,0.5342246452059536
5,5,0.5675,0.45093457943925236,0.5675,0.34445309795777085
6,6,0.5608333333333333,0.5,0.5608333333333334,0.5377293181031498
7,7,0.5791666666666667,0.5046728971962616,0.5791666666666667,0.5342246452059536
8,8,0.5766666666666667,0.4696261682242991,0.5766666666666667,0.5282104534440983
9,9,0.595,0.5210280373831776,0.595,0.5477771287642782
